"dataset","variable","occurrence_count","status","determination","rule","implemented_domain_or_derivation","evidence_source","caveat"
"AEDC","A1",6,"populated","implemented-exact-source","Exact source uses official absence bands 1 to 4.","Exact source uses official absence bands 1 to 4.","AEDC 2025 Data Dictionary; src/rust/src/aedc.rs; R/generate_aedc.R; tests/testthat/test-generate-aedc.R; https://www.aedc.gov.au/resources/detail/aedc-2025-data-dictionary","The domain and skip rule are public. Item probabilities are synthetic and are not calibrated to AEDC microdata."
"AEDC","A10",3,"populated","implemented-exact-source","Exact source uses official ordinal responses 1 to 3 and 88, with public structural skips.","Exact source uses official ordinal responses 1 to 3 and 88, with public structural skips.","AEDC 2025 Data Dictionary; src/rust/src/aedc.rs; R/generate_aedc.R; tests/testthat/test-generate-aedc.R; https://www.aedc.gov.au/resources/detail/aedc-2025-data-dictionary","The domain and skip rule are public. Item probabilities are synthetic and are not calibrated to AEDC microdata."
"AEDC","A11",3,"populated","implemented-exact-source","Exact source uses official ordinal responses 1 to 3 and 88, with public structural skips.","Exact source uses official ordinal responses 1 to 3 and 88, with public structural skips.","AEDC 2025 Data Dictionary; src/rust/src/aedc.rs; R/generate_aedc.R; tests/testthat/test-generate-aedc.R; https://www.aedc.gov.au/resources/detail/aedc-2025-data-dictionary","The domain and skip rule are public. Item probabilities are synthetic and are not calibrated to AEDC microdata."
"AEDC","A12",3,"populated","implemented-exact-source","Exact source uses official ordinal responses 1 to 3 and 88, with public structural skips.","Exact source uses official ordinal responses 1 to 3 and 88, with public structural skips.","AEDC 2025 Data Dictionary; src/rust/src/aedc.rs; R/generate_aedc.R; tests/testthat/test-generate-aedc.R; https://www.aedc.gov.au/resources/detail/aedc-2025-data-dictionary","The domain and skip rule are public. Item probabilities are synthetic and are not calibrated to AEDC microdata."
"AEDC","A13",3,"populated","implemented-exact-source","Exact source uses official ordinal responses 1 to 3 and 88, with public structural skips.","Exact source uses official ordinal responses 1 to 3 and 88, with public structural skips.","AEDC 2025 Data Dictionary; src/rust/src/aedc.rs; R/generate_aedc.R; tests/testthat/test-generate-aedc.R; https://www.aedc.gov.au/resources/detail/aedc-2025-data-dictionary","The domain and skip rule are public. Item probabilities are synthetic and are not calibrated to AEDC microdata."
"AEDC","A1A",6,"populated","implemented-exact-source","Exact source uses official 0 zero-days and 1 one-or-more-days indicators.","Exact source uses official 0 zero-days and 1 one-or-more-days indicators.","AEDC 2025 Data Dictionary; src/rust/src/aedc.rs; R/generate_aedc.R; tests/testthat/test-generate-aedc.R; https://www.aedc.gov.au/resources/detail/aedc-2025-data-dictionary","The domain and skip rule are public. Item probabilities are synthetic and are not calibrated to AEDC microdata."
"AEDC","A1AZ",3,"populated","implemented-public-instrument-rule","AEDC rule gives A1AZ a one-digit raw absence count only when its paired A1 reason is 1.","AEDC rule gives A1AZ a one-digit raw absence count only when its paired A1 reason is 1.","AEDC 2025 Data Dictionary; 2024 EDI questionnaire; R/dil_aedc_values.R; tests/testthat/test-dil-aedc-values.R; https://www.aedc.gov.au/resources/detail/aedc-2025-data-dictionary https://www.aedc.gov.au/resources/detail/2024-early-development-instrument-questions","The meaning and format are public. Counts are synthetic and are not exact decompositions of total absence days."
"AEDC","A1B",6,"populated","implemented-exact-source","Exact source uses official 0 zero-days and 1 one-or-more-days indicators.","Exact source uses official 0 zero-days and 1 one-or-more-days indicators.","AEDC 2025 Data Dictionary; src/rust/src/aedc.rs; R/generate_aedc.R; tests/testthat/test-generate-aedc.R; https://www.aedc.gov.au/resources/detail/aedc-2025-data-dictionary","The domain and skip rule are public. Item probabilities are synthetic and are not calibrated to AEDC microdata."
"AEDC","A1BZ",3,"populated","implemented-public-instrument-rule","AEDC rule gives A1BZ a one-digit raw absence count only when its paired A1 reason is 1.","AEDC rule gives A1BZ a one-digit raw absence count only when its paired A1 reason is 1.","AEDC 2025 Data Dictionary; 2024 EDI questionnaire; R/dil_aedc_values.R; tests/testthat/test-dil-aedc-values.R; https://www.aedc.gov.au/resources/detail/aedc-2025-data-dictionary https://www.aedc.gov.au/resources/detail/2024-early-development-instrument-questions","The meaning and format are public. Counts are synthetic and are not exact decompositions of total absence days."
"AEDC","A1C",6,"populated","implemented-exact-source","Exact source uses official 0 zero-days and 1 one-or-more-days indicators.","Exact source uses official 0 zero-days and 1 one-or-more-days indicators.","AEDC 2025 Data Dictionary; src/rust/src/aedc.rs; R/generate_aedc.R; tests/testthat/test-generate-aedc.R; https://www.aedc.gov.au/resources/detail/aedc-2025-data-dictionary","The domain and skip rule are public. Item probabilities are synthetic and are not calibrated to AEDC microdata."
