dataset,variable,occurrence_count,status,implemented_domain_or_derivation,evidence_source,caveat
"DEX","ACCOMMODATIONTYPECODE","1","populated","Twelve DEX accommodation labels; deterministic weighted sample","DSS Data Exchange Protocols v13; R/dil_social_employment_values.R","The labels are source-backed. The weights are synthetic."
"DEX","ACPR2015BOUNDARYCODE","2","populated","Valid three-digit ACPR code sampled within the spine state","GEN aged-care planning-region data dictionary; R/dil_social_employment_values.R","The code is valid for the state. It is not calculated from the client address."
"DEX","ACPR2018BOUNDARYCODE","2","populated","Valid three-digit ACPR code sampled within the spine state","GEN aged-care planning-region data dictionary; R/dil_social_employment_values.R","The code is valid for the state. It is not calculated from the client address."
"DEX","ACTIVITYID","5","structural","Stable ACT-prefixed synthetic identifier with repeated activity groups","PLIDA DIL; R/dil_social_employment_values.R","The value preserves identifier shape only. It is not a DSS identifier."
"DEX","ADDRESSSTATUSCODE","1","unsupported-codeframe","Exact source column; otherwise NA_character_. Removed local fallback: Current local domain: VALID; PARTIAL_MATCH; UNMATCHED","PLIDA DIL description; R/dil_social_employment_values.R only","No public DEX field codeframe supports these codes. Keep typed missing when no source value exists."
"DEX","ANCESTRYCODE","1","populated","ASCCEG 1102 when spine Indigenous status is 2, 3, or 4; otherwise 1101","ABS ASCCEG 2016; spine indigenous field; R/dil_social_employment_values.R","The derivation collapses all non-Indigenous ancestry to Australian ancestry."
"DEX","ASSESSEDBY","2","populated","Fixed published label: SCORE directly – joint","DSS DEX bulk-upload technical specification; R/dil_social_employment_values.R","Only the confirmed public code-label pair is used."
"DEX","ASSESSEDBYCODE","2","populated","Fixed published code: SDJOINT","DSS DEX bulk-upload technical specification; R/dil_social_employment_values.R","The full AssessedBy codeframe is not public. The helper uses one confirmed code."
"DEX","ASSESSMENTID","2","structural","Stable ASM-prefixed synthetic assessment identifier","PLIDA DIL; R/dil_social_employment_values.R","The value preserves identifier shape only. It is not a DSS identifier."
"DEX","ASSESSMENTTYPE","2","populated","Pre or Post from a shared deterministic assessment phase","DSS Data Exchange Protocols v13; R/dil_social_employment_values.R","The phase distribution is synthetic."
"DEX","ASSESSMENTTYPECODE","2","populated","PRE or POST from a shared deterministic assessment phase","DSS Data Exchange Protocols v13; R/dil_social_employment_values.R","The phase distribution is synthetic."
"DEX","ASSISTANCENEEDEDKEY","2","structural","Synthetic secondary assistance key from 1 to 13","PLIDA DIL; DSS Data Exchange Protocols v13; R/dil_social_employment_values.R","The key is internally coherent with the assistance flags. It is not a released DSS key."
"DEX","ATTENDANCEID","3","structural","Stable ATT-prefixed synthetic attendance identifier","PLIDA DIL; R/dil_social_employment_values.R","The value preserves identifier shape only. It is not a DSS identifier."
"DEX","ATTENDANCEPROFILECODE","1","populated","Family; Community event; Peer support group; Couple; Cohabitants","DSS Data Exchange Protocols v13; R/dil_social_employment_values.R","The labels are source-backed. The weights are synthetic."
"DEX","CARING","1","populated","Binary flag from shared primary and secondary assistance keys","DSS Data Exchange Protocols v13; R/dil_social_employment_values.R","The helper selects at most two assistance domains for each row."
"DEX","CLIENTADDSOURCEVALIDCOD","1","unsupported-codeframe","Exact source column; otherwise NA_character_. Removed local fallback: Current local domain: VALID; PARTIAL_MATCH; UNMATCHED","PLIDA DIL description; R/dil_social_employment_values.R only","No public DEX field codeframe supports these codes. Keep typed missing when no source value exists."
"DEX","CLIENTLOCALITY","1","populated","Official 2021 SA2 name linked from spine SA2; state-valid fallback","ABS ASGS 2021; inst/extdata/codeframes/sa2_2021.tsv","The fallback is sampled within state when the spine SA2 is absent."
"DEX","COMMUNITY","2","populated","Binary flag from shared primary and secondary assistance keys","DSS Data Exchange Protocols v13; R/dil_social_employment_values.R","The helper selects at most two assistance domains for each row."
"DEX","DELIVERYORGID","3","structural","Stable ORG-prefixed synthetic organisation identifier with repeated groups","PLIDA DIL; R/dil_social_employment_values.R","The value preserves identifier shape only. It is not a DSS identifier."
"DEX","DISABILITYCODE","1","populated","Six published disability labels including None and Not stated","DSS Data Exchange Protocols v13; R/dil_social_employment_values.R","The labels are source-backed. The weights are synthetic."
"DEX","DVACARDSTATUSCODE","1","populated","DVA Gold; White; Orange or other; no entitlement","DSS Data Exchange Protocols v13; R/dil_social_employment_values.R","The labels are source-backed. The weights are synthetic."
"DEX","EDUCATIONLEVELCODE","1","populated","Published education labels mapped from spine education level","DSS Data Exchange Protocols v13; spine education field; R/dil_social_employment_values.R","The crosswalk groups several spine levels."
"DEX","EDUCEMPL","2","populated","Binary education and training assistance flag from shared keys","DSS Data Exchange Protocols v13; R/dil_social_employment_values.R","EDUCEMPL and TRAINING use the same assistance domain."
"DEX","EMPLOYMENT","2","populated","Binary employment assistance flag from shared keys","DSS Data Exchange Protocols v13; R/dil_social_employment_values.R","The helper selects at most two assistance domains for each row."
"DEX","EMPLOYMENTSTATUSCODE","1","populated","Published employment labels linked to spine employment status","DSS Data Exchange Protocols v13; spine baseline_employed field; R/dil_social_employment_values.R","Non-employed subcategories are synthetic."
"DEX","EXITREASONCODE","1","populated","Nine published client exit-reason labels","DSS Data Exchange Protocols v13; R/dil_social_employment_values.R","The labels are source-backed. The weights are synthetic."
"DEX","EXTERNREFERDETINCODE","1","populated","Twelve published external referral destination labels","DSS Data Exchange Protocols v13; R/dil_social_employment_values.R","The labels are source-backed. The distribution is synthetic."
"DEX","FAMILY","2","populated","Binary family assistance flag from shared keys","DSS Data Exchange Protocols v13; R/dil_social_employment_values.R","The helper selects at most two assistance domains for each row."
"DEX","FED2022BOUNDARYCODE","2","populated","Valid CED code sampled within the spine state","ABS ASGS Edition 3; R/dil_social_employment_values.R","The code is valid for the state. It is not calculated from the client address."
"DEX","GPSORGANISATIONID","2","structural","Stable GPSORG-prefixed synthetic organisation identifier","PLIDA DIL; R/dil_social_employment_values.R","The value preserves identifier shape only. It is not a GovGPS identifier."
"DEX","GPSPROGRAMID","1","structural","Stable GPSPRG-prefixed synthetic program identifier","PLIDA DIL; R/dil_social_employment_values.R","The value preserves identifier shape only. It is not a GovGPS identifier."
"DEX","HOMELESSCODE","1","populated","No; At Risk; Yes","DSS Data Exchange Protocols v13; R/dil_social_employment_values.R","The labels are source-backed. The weights are synthetic."
"DEX","HOUSEHOLDCOMPOSITIONCODE","1","populated","Eight published household-composition labels","DSS Data Exchange Protocols v13; R/dil_social_employment_values.R","The labels are source-backed. The weights are synthetic."
"DEX","HOUSING","2","populated","Binary housing assistance flag from shared keys","DSS Data Exchange Protocols v13; R/dil_social_employment_values.R","The helper selects at most two assistance domains for each row."
"DEX","INCOMEFREQUENCYCODE","1","populated","Weekly; Fortnightly; Monthly; Annually","DSS Data Exchange Protocols v13; R/dil_social_employment_values.R","The labels are source-backed. The weights are synthetic."
"DEX","INCOMESOURCECODE","1","populated","Salary when employed; government payment otherwise","DSS Data Exchange Protocols v13; spine baseline_employed field; R/dil_social_employment_values.R","The two-value crosswalk omits other valid income sources."
"DEX","LEADORGID","3","structural","Stable LEAD-prefixed synthetic lead-organisation identifier","PLIDA DIL; R/dil_social_employment_values.R","The value preserves identifier shape only. It is not a DSS identifier."
"DEX","LGA2016BOUNDARYCODE","2","populated","Official 2016 LGA code sampled within the spine state","ABS ASGS 2016; inst/extdata/codeframes/lga.tsv","The code is state-valid. It is not calculated from the client address."
"DEX","LGA2021BOUNDARYCODE","2","populated","Official 2021 LGA code sampled within the spine state","ABS ASGS 2021; inst/extdata/codeframes/lga.tsv","The code is state-valid. It is not calculated from the client address."
"DEX","MAINLANGUAGECODE","1","populated","Four-digit ASCL language code sampled with codeframe weights","ABS ASCL; inst/extdata/codeframes/ascl_language.tsv","The codeframe is official. The sampled language is not linked to country of birth."
"DEX","MATERIAL","2","populated","Binary material-wellbeing assistance flag from shared keys","DSS Data Exchange Protocols v13; R/dil_social_employment_values.R","The helper selects at most two assistance domains for each row."
"DEX","MONEY","2","populated","Binary financial-resilience assistance flag from shared keys","DSS Data Exchange Protocols v13; R/dil_social_employment_values.R","The helper selects at most two assistance domains for each row."
"DEX","MONEYWORKSHOPCODE","1","populated","Nine published MoneyBusiness workshop labels plus Other","DSS Data Exchange Protocols v13; R/dil_social_employment_values.R","The labels are source-backed. The distribution is synthetic."
"DEX","NAME","3","unsupported-codeframe","Exact source column; otherwise NA_character_. Removed local fallback: Current table-aware local program and service labels","PLIDA DIL description; R/dil_social_employment_values.R only","Some labels are local examples. Keep typed missing when no source value exists."
"DEX","NDISELIGIBILITYCODE","1","populated","Eligible; in-progress request; ineligible from disability severity and a synthetic fallback","DSS Data Exchange Protocols v13; spine disability_severity field; R/dil_social_employment_values.R","The eligibility derivation is plausible only. It is not an NDIS access decision."
"DEX","ORGANISATIONACTIVITYID","2","structural","Stable ORGA-prefixed synthetic organisation-activity identifier","PLIDA DIL; R/dil_social_employment_values.R","The value preserves identifier shape only. It is not a DSS identifier."
"DEX","ORGANISATIONID","2","structural","Stable ORG-prefixed synthetic organisation identifier","PLIDA DIL; R/dil_social_employment_values.R","The value preserves identifier shape only. It is not a DSS identifier."
"DEX","OTHER","1","populated","Binary other-assistance flag from shared keys","DSS Data Exchange Protocols v13; R/dil_social_employment_values.R","The helper selects at most two assistance domains for each row."
"DEX","OUTCOMEDOMAIN","2","populated","Published Circumstances; Goals; Satisfaction; and Community domain labels","DSS Data Exchange Protocols v13; R/dil_social_employment_values.R","The domain selection and distribution are synthetic."
"DEX","OUTCOMEDOMAINSCORECODE","2","populated","Published DEX domain-code token concatenated with a SCORE rating from 1 to 5","DSS Data Exchange Web Services Technical Specification: https://dex.dss.gov.au/sites/default/files/documents/2025-12/2966-data-exchange-system-web.pdf; R/dil_social_employment_values.R","The code structure and scale are public. The selected domain and rating are synthetic."
"DEX","OUTCOMETYPE","2","populated","Circumstances; Goals; Satisfaction; Community","DSS Data Exchange Protocols v13; R/dil_social_employment_values.R","The type is coherent with the selected outcome domain."
"DEX","OUTLETACTIVITYID","1","structural","Stable OUTACT-prefixed synthetic outlet-activity identifier","PLIDA DIL; R/dil_social_employment_values.R","The value preserves identifier shape only. It is not a DSS identifier."
"DEX","OUTLETID","5","structural","Stable OUT-prefixed synthetic outlet identifier with repeated groups","PLIDA DIL; R/dil_social_employment_values.R","The value preserves identifier shape only. It is not a DSS identifier."
"DEX","OUTLETLOCALITY","1","populated","Official 2021 SA2 name linked from spine SA2; state-valid fallback","ABS ASGS 2021; inst/extdata/codeframes/sa2_2021.tsv","The fallback is sampled within state when the spine SA2 is absent."
"DEX","PARTICIPATIONTYPE","2","populated","Client; Support person; Unidentified client","DSS Data Exchange Protocols v13; R/dil_social_employment_values.R","The labels are source-backed. The weights are synthetic."
"DEX","PERSONAL","2","populated","Binary personal-safety assistance flag from shared keys","DSS Data Exchange Protocols v13; R/dil_social_employment_values.R","The helper selects at most two assistance domains for each row."
"DEX","PHYSICAL","2","populated","Binary physical-health assistance flag from shared keys","DSS Data Exchange Protocols v13; R/dil_social_employment_values.R","The helper selects at most two assistance domains for each row."
"DEX","PRIMARYASSISTANCENEEDEDKEY","1","structural","Synthetic primary assistance key from 1 to 13","PLIDA DIL; DSS Data Exchange Protocols v13; R/dil_social_employment_values.R","The key is internally coherent with the assistance flags. It is not a released DSS key."
"DEX","PRIORITYGRP","1","unsupported-codeframe","Exact source column; otherwise NA_character_. Removed local fallback: Current local labels for five target priority groups","PLIDA DIL description; R/dil_social_employment_values.R only","No public field codeframe supports this local list. Keep typed missing when no source value exists."
"DEX","PROGRAMID","2","structural","Stable PRG-prefixed synthetic program identifier","PLIDA DIL; R/dil_social_employment_values.R","The value preserves identifier shape only. It is not a DSS identifier."
"DEX","RECORDSEQNBR","7","structural","Deterministic sequence value from 1 to 3","PLIDA DIL; R/dil_social_employment_values.R","The sequence is synthetic and table-local."
"DEX","REFERRALFROMSOURCE","1","populated","Twenty-two published referral-source labels","DSS Data Exchange Protocols v13; R/dil_social_employment_values.R","The labels are source-backed. The distribution is synthetic."
"DEX","REFERRALTOEXTERNALKEY","1","structural","Optional synthetic external referral key from 1 to 13","PLIDA DIL; R/dil_social_employment_values.R","The key is not linked to an official referral dimension."
"DEX","REFERRALTOINTERNALKEY","1","structural","Optional synthetic internal referral key from 1 to 13","PLIDA DIL; R/dil_social_employment_values.R","The key is not linked to an official referral dimension."
"DEX","REFERRALTOKEY","1","structural","Synthetic referral key from 1 to 13","PLIDA DIL; R/dil_social_employment_values.R","The key is not linked to an official referral dimension."
"DEX","REPORTINGPERIODENDTIME","1","structural","End date of the deterministic DEX half-year reporting period","PLIDA DIL; R/dil_social_employment_values.R","The date is internally coherent with THEDAY and THEREPORTINGPERIOD."
"DEX","SERVICESETTINGCODE","1","populated","Ten published service-setting labels","DSS Data Exchange Protocols v13; R/dil_social_employment_values.R","The labels are source-backed. The weights are synthetic."
"DEX","SERVICETYPEID","5","structural","Synthetic integer service-type identifier from 101 to 108","PLIDA DIL; R/dil_social_employment_values.R","The value is not linked to an official service-type dimension."
"DEX","SESSIONID","4","structural","Stable SES-prefixed synthetic session identifier","PLIDA DIL; R/dil_social_employment_values.R","The value preserves identifier shape only. It is not a DSS identifier."
"DEX","SOURCESYSTEMCODE","1","populated","FOFMS or EXTNL from the official DIL field examples; deterministic weighted sample","PLIDA DIL description; R/dil_social_employment_values.R","The codes are source-backed. The split between them is synthetic."
"DEX","STE2016BOUNDARYCODE","2","populated","State code 1 to 8 from the linked spine state","ABS ASGS 2016; spine state field; R/dil_social_employment_values.R","Invalid or missing spine states receive a deterministic state fallback."
"DEX","STE2021BOUNDARYCODE","2","populated","State code 1 to 8 from the linked spine state","ABS ASGS 2021; spine state field; R/dil_social_employment_values.R","Invalid or missing spine states receive a deterministic state fallback."
"DEX","THEDAY","1","structural","Deterministic date within the product period","PLIDA DIL; R/dil_social_employment_values.R","The date drives all related calendar fields."
"DEX","THEDAYNAME","1","structural","Weekday name derived from THEDAY","PLIDA DIL; R/dil_social_employment_values.R","The value is internally coherent with THEDAY."
"DEX","THEDAYOFWEEK","1","structural","ISO weekday number 1 to 7 derived from THEDAY","PLIDA DIL; R/dil_social_employment_values.R","The value is internally coherent with THEDAY."
"DEX","THEISOWEEK","1","structural","ISO year-week label derived from THEDAY","PLIDA DIL; R/dil_social_employment_values.R","The value is internally coherent with THEDAY."
"DEX","THEMONTHNAME","1","structural","Month name derived from THEDAY","PLIDA DIL; R/dil_social_employment_values.R","The value is internally coherent with THEDAY."
"DEX","THEREPORTINGPERIOD","3","structural","Financial half-year label derived from THEDAY","PLIDA DIL; R/dil_social_employment_values.R","The value is internally coherent with REPORTINGPERIODENDTIME."
"DEX","THEWEEK","1","structural","Monday date for the week that contains THEDAY","PLIDA DIL; R/dil_social_employment_values.R","The value is internally coherent with THEDAY."
"DEX","TOPICCODE","1","populated","Twenty-one published NDAP topic labels","DSS Data Exchange Protocols v13; R/dil_social_employment_values.R","The labels are source-backed. The distribution is synthetic."
"DEX","TRAINING","2","populated","Binary education and training assistance flag from shared keys","DSS Data Exchange Protocols v13; R/dil_social_employment_values.R","TRAINING and EDUCEMPL use the same assistance domain."
"DOMINO","ACTV_PRTCPN_CODE","2","unsupported-codeframe","Exact source column; otherwise NA_character_. Removed local fallback: Current local domain: A; E; N; P","R/generate_domino.R; inst/internal-docs/variable-evidence-appendices/dss-variable-evidence.qmd","DSS has not published the PLIDA field codeframe. Keep typed missing when no source value exists."
"DOMINO","ADDR_PRTY","3","unsupported-codeframe","Exact source column; otherwise NA_character_. Removed local fallback: Current local priority values: 1; 2; 3","R/generate_domino.R; inst/internal-docs/variable-evidence-appendices/dss-variable-evidence.qmd","No public DOMINO code table confirms the priority scale."
"DOMINO","ADDR_TYPE_CODE","2","unsupported-codeframe","Exact source column; otherwise NA_character_. Removed local fallback: Current local domain: RES; POS; TMP; TERM","R/generate_domino.R; inst/internal-docs/variable-evidence-appendices/dss-variable-evidence.qmd","No public DOMINO code table confirms these address codes."
"DOMINO","ADR_TYP","1","unsupported-codeframe","Exact source column; otherwise NA_character_. Removed local fallback: Alias of current ADDR_TYPE_CODE domain","R/generate_domino.R; inst/internal-docs/variable-evidence-appendices/dss-variable-evidence.qmd","No public DOMINO code table confirms these address codes."
"DOMINO","AGE_GROUP","1","unsupported-codeframe","Exact source column; otherwise NA_character_. Removed local fallback: Current local bins: 0-14 through 85+","PLIDA DIL description; R/dil_social_employment_values.R only","The age cut-points are local. Keep typed missing until the released bin definition is sourced."
"DOMINO","AMR","2","structural","Stable R-prefixed synthetic record identifier","PLIDA DIL; R/dil_social_employment_values.R","The value preserves identifier shape only. It is not a Services Australia identifier."
"DOMINO","ASSMT_ID","2","structural","Stable A-prefixed synthetic assessment identifier","PLIDA DIL; R/dil_social_employment_values.R","The value preserves identifier shape only. It is not a Services Australia identifier."
"DOMINO","BEN_STATUS","1","unsupported-codeframe","Exact source column; otherwise NA_character_. Removed local fallback: Current observed local domain: CUR; SUS","R/generate_domino.R; inst/internal-docs/variable-evidence-appendices/dss-variable-evidence.qmd","The local generator supports these values. A public DOMINO field codeframe was not found."
"DOMINO","BEN_TYPE","28","unsupported-codeframe","Exact source column; otherwise NA_character_. Removed local fallback: Product-specific local Centrelink payment codes","R/generate_domino.R; inst/foundations/domino.toml; inst/internal-docs/variable-evidence-appendices/dss-variable-evidence.qmd","Many codes resemble payment mnemonics. Their PLIDA field equivalence is not publicly verified."
"DOMINO","BEN_TYPE_CODE","3","unsupported-codeframe","Exact source column; otherwise NA_character_. Removed local fallback: Product-specific local Centrelink payment codes","R/generate_domino.R; inst/foundations/domino.toml; inst/internal-docs/variable-evidence-appendices/dss-variable-evidence.qmd","Many codes resemble payment mnemonics. Their PLIDA field equivalence is not publicly verified."
"DOMINO","BIRTH_CTRY_CODE","2","populated","Four-digit SACC country code from the linked spine; 1101 fallback","ABS SACC; spine country_of_birth_sacc field; R/dil_social_employment_values.R","The fallback records Australia when the spine value is absent."
"DOMINO","BUS_DLY_INC_REAL_ESTATE_CODE","1","unsupported-codeframe","Exact source column; otherwise NA_character_. Removed local fallback: Current local binary domain: Y; N","PLIDA DIL description; R/dil_social_employment_values.R only","The indicator coding and 8 percent rate are local."
"DOMINO","CARD_ANY","1","unsupported-codeframe","Exact source column; otherwise NA_character_. Removed local fallback: Current local binary domain: Y; N","R/generate_domino.R; inst/internal-docs/variable-evidence-appendices/dss-variable-evidence.qmd","The concept is plausible. The exact coding and rate are not publicly verified."
"DOMINO","CARD_HEALTH_CARE_ECH","1","unsupported-codeframe","Exact source column; otherwise NA_character_. Removed local fallback: Current local binary domain: Y; N","R/generate_domino.R; inst/internal-docs/variable-evidence-appendices/dss-variable-evidence.qmd","The concept is plausible. The exact coding and rate are not publicly verified."
"DOMINO","CARD_HEALTH_CARE_FST","1","unsupported-codeframe","Exact source column; otherwise NA_character_. Removed local fallback: Current local binary domain: Y; N","R/generate_domino.R; inst/internal-docs/variable-evidence-appendices/dss-variable-evidence.qmd","The concept is plausible. The exact coding and rate are not publicly verified."
"DOMINO","CDEP_FREQ_CODE","2","unsupported-codeframe","Exact source column; otherwise NA_character_. Removed local fallback: Current local constant: FTN","R/generate_domino.R; inst/internal-docs/variable-evidence-appendices/dss-variable-evidence.qmd","No public DOMINO code table confirms FTN for this field."
"DOMINO","CED","1","populated","Valid CED code sampled within the spine state","ABS ASGS Edition 3; R/dil_social_employment_values.R","The code is state-valid. It is not calculated from an address."
"DOMINO","CHILD_ID","3","structural","Stable C-prefixed synthetic child identifier","PLIDA DIL; R/dil_social_employment_values.R","The value preserves identifier shape only. It is not a Services Australia identifier."
"DOMINO","CHNL","2","unsupported-codeframe","Exact source column; otherwise NA_character_. Removed local fallback: Current local domain: ONL; PHN; FTF","R/generate_domino.R; inst/internal-docs/variable-evidence-appendices/dss-variable-evidence.qmd","No public DOMINO code table confirms these channel codes."
"DOMINO","CMPNT_TYPE","25","unsupported-codeframe","Exact source column; otherwise NA_character_. Removed local fallback: Current local domain: BASIC; SUPP; ARREARS","R/generate_domino.R; inst/internal-docs/variable-evidence-appendices/dss-variable-evidence.qmd","No public DOMINO code table confirms these component codes."
"DOMINO","CMTY_CODE","3","unsupported-codeframe","Exact source column; otherwise NA_character_. Removed local fallback: Current SA2 code from spine; CMTY-prefixed fallback","PLIDA DIL description; R/dil_social_employment_values.R only","The DIL does not prove that CMTY_CODE is an SA2 code. The helper now omits that fallback."
"DOMINO","CNTRY_CDE","1","populated","Fixed four-digit SACC 1101 for the synthetic Australian residential address","ABS SACC; src/rust/src/domino.rs; R/generate_domino.R; R/dil_social_employment_values.R","The current generator does not model an overseas residential address."
"DOMINO","CODE_TYPE","1","unsupported-codeframe","Exact source column; otherwise NA_character_. Removed local fallback: Current local types: DOMINO_MED_GROUP; ICD10; IMPAIRMENT","R/generate_domino.R; R/dil_social_employment_values.R","DOMINO_MED_GROUP and IMPAIRMENT are local type labels. Keep typed missing without a source value."
"DOMINO","CODE_VALUE","1","unsupported-codeframe","Exact source column; otherwise NA_character_. Removed local fallback: Value selected within the local CODE_TYPE domain","R/generate_domino.R; R/dil_social_employment_values.R","ICD-10 examples are real codes. The complete field-level pairing is not verified."
"DOMINO","CONCESSION","4","unsupported-codeframe","Exact source column; otherwise NA_character_. Removed local fallback: Current local domain: HCC; PCC; SHC; LIC","R/generate_domino.R; inst/internal-docs/variable-evidence-appendices/dss-variable-evidence.qmd","The codes are plausible card mnemonics. Their DOMINO field equivalence is not publicly verified."
"DOMINO","COURSE_LVL","3","unsupported-codeframe","Exact source column; otherwise NA_character_. Removed local fallback: Current local education codes 00 to 05 from spine education","R/generate_domino.R; inst/internal-docs/variable-evidence-appendices/dss-variable-evidence.qmd","No public DOMINO code table confirms this education crosswalk."
"DOMINO","COURSE_TYPE","3","unsupported-codeframe","Exact source column; otherwise NA_character_. Removed local fallback: Current local domain: SEC; VET; HE; APP; OTH","R/generate_domino.R; inst/internal-docs/variable-evidence-appendices/dss-variable-evidence.qmd","No public DOMINO code table confirms these course codes."
"DOMINO","COURSE_TYPE_DESC","2","unsupported-codeframe","Exact source column; otherwise NA_character_. Removed local fallback: Local label lookup for COURSE_TYPE","R/generate_domino.R; inst/internal-docs/variable-evidence-appendices/dss-variable-evidence.qmd","The labels are coherent with local codes but are not source-verified."
"DOMINO","CTRY_CODE","2","populated","Fixed four-digit SACC 1101 for the synthetic Australian residential address","ABS SACC; src/rust/src/domino.rs; R/generate_domino.R; R/dil_social_employment_values.R","The current generator does not model an overseas residential address."
"DOMINO","DURN_DAYS","1","structural","Deterministic synthetic duration from 30 to 3679 days","PLIDA DIL; R/dil_social_employment_values.R","The duration is not derived from linked start and end dates."
"DOMINO","DVA_TYPE_CODE","1","unsupported-codeframe","Exact source column; otherwise NA_character_. Removed local fallback: Current local domain: PEN; ALL; COMP","R/generate_domino.R; inst/internal-docs/variable-evidence-appendices/dss-variable-evidence.qmd","No public DOMINO code table confirms these DVA income codes."
"DOMINO","EMP_INC_CONT_HRS","1","structural","Fortnightly hours from twice the spine weekly hours; capped at 80","PLIDA DIL; spine baseline_hours field; R/dil_social_employment_values.R","The derivation assumes the spine value is weekly hours."
"DOMINO","EMP_INC_VAR_HRS","1","structural","Same derivation or source alias as EMP_INC_CONT_HRS","PLIDA DIL; spine baseline_hours field; R/dil_social_employment_values.R","The fallback does not model variable hours separately."
"DOMINO","EMPLYR_ID","4","structural","Stable E-prefixed synthetic employer identifier","PLIDA DIL; R/dil_social_employment_values.R","The value preserves identifier shape only. It is not an employer source identifier."
"DOMINO","END_REASON_CODE","4","unsupported-codeframe","Exact source column; otherwise NA_character_. Removed local fallback: Current local 12-code end-reason domain","R/generate_domino.R; inst/internal-docs/variable-evidence-appendices/dss-variable-evidence.qmd","The local codes are not confirmed for every table that uses this variable name."
"DOMINO","END_RSN","4","unsupported-codeframe","Exact source column; otherwise NA_character_. Removed local fallback: Current observed local domain: CAN; SUS","R/generate_domino.R; inst/internal-docs/variable-evidence-appendices/dss-variable-evidence.qmd","The local generator supports these values. A public field codeframe was not found."
"DOMINO","END_RSN_CODE","1","unsupported-codeframe","Exact source column; otherwise NA_character_. Removed local fallback: Current local domain: EMP; INC; ASS; NFR; APR; ADE; AGE; OTH; FSD; NRQ; CLR; 6WK","R/generate_domino.R; inst/internal-docs/variable-evidence-appendices/dss-variable-evidence.qmd","The local generator supports these values. A public field codeframe was not found."
"DOMINO","ENT_TYPE","4","unsupported-codeframe","Exact source column; otherwise NA_character_. Removed local fallback: Current local domain: PRI; DEP","R/generate_domino.R; inst/internal-docs/variable-evidence-appendices/dss-variable-evidence.qmd","No public DOMINO code table confirms these entitlement codes."
"DOMINO","EUEA_ID","1","structural","Stable EUEA-prefixed synthetic identifier","PLIDA DIL; R/dil_social_employment_values.R","The value preserves identifier shape only. It is not a Services Australia identifier."
"DOMINO","EUED_ID","1","structural","Stable EUED-prefixed synthetic identifier","PLIDA DIL; R/dil_social_employment_values.R","The value preserves identifier shape only. It is not a Services Australia identifier."
