"dataset","variable","occurrence_count","product_count","table_count","type","official_descriptions","status","populated_occurrence_count","synthetic_structural_occurrence_count","unsupported_private_codeframe_occurrence_count","implementation_class","determination_rule","evidence_source","evidence_url","caveat","candidate_status","candidate_rule","candidate_evidence_source","candidate_evidence_url","candidate_caveat"
"CGT","ACTV_FMIS_DISC_C",13,13,13,"character","Active assets - Forestry managed investment scheme interest: Capital gains - discount method","populated",13,0,0,"legacy_cgt_derivation","R/dil_admin_value_rules.R:.dil_cgt_source_value() decomposes the generated CGT total, asset, loss, discount and concession amounts into the named schedule component while preserving accounting bounds.","R/dil_admin_value_rules.R; R/generate_cgt.R; tests/testthat/test-dil-admin-value-rules.R; PLIDA DIL","https://www.ato.gov.au/individuals-and-families/your-tax-return/instructions-to-complete-your-tax-return/mytax-instructions/2024/income/australian-income-or-losses-from-investments-or-property/capital-gains-tax-schedule","The identities are coherent, but the decomposition shares are local synthetic assumptions rather than observed ATO distributions.","no_defensible_rule_identified","Keep typed missing pending an exact source.","No exact public codeframe found in this audit.","","A broad concept or similarly named field is not enough to infer the private ATO value encoding."
"CGT","ACTV_FMIS_INDX_B",13,13,13,"character","Active assets - Forestry managed investment scheme interest: Capital gains - indexation method","populated",13,0,0,"legacy_cgt_derivation","R/dil_admin_value_rules.R:.dil_cgt_source_value() decomposes the generated CGT total, asset, loss, discount and concession amounts into the named schedule component while preserving accounting bounds.","R/dil_admin_value_rules.R; R/generate_cgt.R; tests/testthat/test-dil-admin-value-rules.R; PLIDA DIL","https://www.ato.gov.au/individuals-and-families/your-tax-return/instructions-to-complete-your-tax-return/mytax-instructions/2024/income/australian-income-or-losses-from-investments-or-property/capital-gains-tax-schedule","The identities are coherent, but the decomposition shares are local synthetic assumptions rather than observed ATO distributions.","no_defensible_rule_identified","Keep typed missing pending an exact source.","No exact public codeframe found in this audit.","","A broad concept or similarly named field is not enough to infer the private ATO value encoding."
"CGT","ACTV_FMIS_OTH_D",13,13,13,"character","Active assets - Forestry managed investment scheme interest: Other capital gains","populated",13,0,0,"legacy_cgt_derivation","R/dil_admin_value_rules.R:.dil_cgt_source_value() decomposes the generated CGT total, asset, loss, discount and concession amounts into the named schedule component while preserving accounting bounds.","R/dil_admin_value_rules.R; R/generate_cgt.R; tests/testthat/test-dil-admin-value-rules.R; PLIDA DIL","https://www.ato.gov.au/individuals-and-families/your-tax-return/instructions-to-complete-your-tax-return/mytax-instructions/2024/income/australian-income-or-losses-from-investments-or-property/capital-gains-tax-schedule","The identities are coherent, but the decomposition shares are local synthetic assumptions rather than observed ATO distributions.","no_defensible_rule_identified","Keep typed missing pending an exact source.","No exact public codeframe found in this audit.","","A broad concept or similarly named field is not enough to infer the private ATO value encoding."
"CGT","ACTV_OTH_ASSTS_DISC_T",13,13,13,"character","Active assets - Other CGT assets and any other CGT events: Capital gains - discount method","populated",13,0,0,"legacy_cgt_derivation","R/dil_admin_value_rules.R:.dil_cgt_source_value() decomposes the generated CGT total, asset, loss, discount and concession amounts into the named schedule component while preserving accounting bounds.","R/dil_admin_value_rules.R; R/generate_cgt.R; tests/testthat/test-dil-admin-value-rules.R; PLIDA DIL","https://www.ato.gov.au/individuals-and-families/your-tax-return/instructions-to-complete-your-tax-return/mytax-instructions/2024/income/australian-income-or-losses-from-investments-or-property/capital-gains-tax-schedule","The identities are coherent, but the decomposition shares are local synthetic assumptions rather than observed ATO distributions.","no_defensible_rule_identified","Keep typed missing pending an exact source.","No exact public codeframe found in this audit.","","A broad concept or similarly named field is not enough to infer the private ATO value encoding."
"CGT","ACTV_OTH_ASSTS_INDX_S",13,13,13,"character","Active assets - Other CGT assets and any other CGT events: Capital gains - indexation method","populated",13,0,0,"legacy_cgt_derivation","R/dil_admin_value_rules.R:.dil_cgt_source_value() decomposes the generated CGT total, asset, loss, discount and concession amounts into the named schedule component while preserving accounting bounds.","R/dil_admin_value_rules.R; R/generate_cgt.R; tests/testthat/test-dil-admin-value-rules.R; PLIDA DIL","https://www.ato.gov.au/individuals-and-families/your-tax-return/instructions-to-complete-your-tax-return/mytax-instructions/2024/income/australian-income-or-losses-from-investments-or-property/capital-gains-tax-schedule","The identities are coherent, but the decomposition shares are local synthetic assumptions rather than observed ATO distributions.","no_defensible_rule_identified","Keep typed missing pending an exact source.","No exact public codeframe found in this audit.","","A broad concept or similarly named field is not enough to infer the private ATO value encoding."
"CGT","ACTV_OTH_ASSTS_OTH_U",13,13,13,"character","Active assets - Other CGT assets and any other CGT events: Other capital gains","populated",13,0,0,"legacy_cgt_derivation","R/dil_admin_value_rules.R:.dil_cgt_source_value() decomposes the generated CGT total, asset, loss, discount and concession amounts into the named schedule component while preserving accounting bounds.","R/dil_admin_value_rules.R; R/generate_cgt.R; tests/testthat/test-dil-admin-value-rules.R; PLIDA DIL","https://www.ato.gov.au/individuals-and-families/your-tax-return/instructions-to-complete-your-tax-return/mytax-instructions/2024/income/australian-income-or-losses-from-investments-or-property/capital-gains-tax-schedule","The identities are coherent, but the decomposition shares are local synthetic assumptions rather than observed ATO distributions.","no_defensible_rule_identified","Keep typed missing pending an exact source.","No exact public codeframe found in this audit.","","A broad concept or similarly named field is not enough to infer the private ATO value encoding."
"CGT","ACTV_REAL_EST_DISC_OD_Q",13,13,13,"character","Active assets - Real estate: Capital gains - discount method","populated",13,0,0,"legacy_cgt_derivation","R/dil_admin_value_rules.R:.dil_cgt_source_value() decomposes the generated CGT total, asset, loss, discount and concession amounts into the named schedule component while preserving accounting bounds.","R/dil_admin_value_rules.R; R/generate_cgt.R; tests/testthat/test-dil-admin-value-rules.R; PLIDA DIL","https://www.ato.gov.au/individuals-and-families/your-tax-return/instructions-to-complete-your-tax-return/mytax-instructions/2024/income/australian-income-or-losses-from-investments-or-property/capital-gains-tax-schedule","The identities are coherent, but the decomposition shares are local synthetic assumptions rather than observed ATO distributions.","no_defensible_rule_identified","Keep typed missing pending an exact source.","No exact public codeframe found in this audit.","","A broad concept or similarly named field is not enough to infer the private ATO value encoding."
"CGT","ACTV_REAL_EST_INDX_P",13,13,13,"character","Active assets - Real estate: Capital gains - indexation method","populated",13,0,0,"legacy_cgt_derivation","R/dil_admin_value_rules.R:.dil_cgt_source_value() decomposes the generated CGT total, asset, loss, discount and concession amounts into the named schedule component while preserving accounting bounds.","R/dil_admin_value_rules.R; R/generate_cgt.R; tests/testthat/test-dil-admin-value-rules.R; PLIDA DIL","https://www.ato.gov.au/individuals-and-families/your-tax-return/instructions-to-complete-your-tax-return/mytax-instructions/2024/income/australian-income-or-losses-from-investments-or-property/capital-gains-tax-schedule","The identities are coherent, but the decomposition shares are local synthetic assumptions rather than observed ATO distributions.","no_defensible_rule_identified","Keep typed missing pending an exact source.","No exact public codeframe found in this audit.","","A broad concept or similarly named field is not enough to infer the private ATO value encoding."
"CGT","ACTV_REAL_EST_OTH_R",13,13,13,"character","Active assets - Real estate: Other capital gains","populated",13,0,0,"legacy_cgt_derivation","R/dil_admin_value_rules.R:.dil_cgt_source_value() decomposes the generated CGT total, asset, loss, discount and concession amounts into the named schedule component while preserving accounting bounds.","R/dil_admin_value_rules.R; R/generate_cgt.R; tests/testthat/test-dil-admin-value-rules.R; PLIDA DIL","https://www.ato.gov.au/individuals-and-families/your-tax-return/instructions-to-complete-your-tax-return/mytax-instructions/2024/income/australian-income-or-losses-from-investments-or-property/capital-gains-tax-schedule","The identities are coherent, but the decomposition shares are local synthetic assumptions rather than observed ATO distributions.","no_defensible_rule_identified","Keep typed missing pending an exact source.","No exact public codeframe found in this audit.","","A broad concept or similarly named field is not enough to infer the private ATO value encoding."
"CGT","ACTV_SHARES_UNITS_DISC_N",13,13,13,"character","Active assets - Shares and units (in unit trusts): Capital gains - discount method","populated",13,0,0,"legacy_cgt_derivation","R/dil_admin_value_rules.R:.dil_cgt_source_value() decomposes the generated CGT total, asset, loss, discount and concession amounts into the named schedule component while preserving accounting bounds.","R/dil_admin_value_rules.R; R/generate_cgt.R; tests/testthat/test-dil-admin-value-rules.R; PLIDA DIL","https://www.ato.gov.au/individuals-and-families/your-tax-return/instructions-to-complete-your-tax-return/mytax-instructions/2024/income/australian-income-or-losses-from-investments-or-property/capital-gains-tax-schedule","The identities are coherent, but the decomposition shares are local synthetic assumptions rather than observed ATO distributions.","no_defensible_rule_identified","Keep typed missing pending an exact source.","No exact public codeframe found in this audit.","","A broad concept or similarly named field is not enough to infer the private ATO value encoding."
