"guide","product_area","source_supports","not_found_or_not_proven","guide_file"
"blade","BLADE scope and sources","ABS BLADE pages support that BLADE combines tax, ABS survey, trade, IP, ASIC, DEWR, and other administrative sources for active businesses and business performance/productivity analysis.","Public ABS pages do not provide full code labels for all generated BLADE variables; use `inst/blade_metadata/variables.csv` as the local DIL-style schema source.","blade-dataset-explainer.qmd"
"blade","Business identifiers and key products","Local BLADE metadata and generated tests support the key products and identifier-link fields used by the package.","I did not find a public codebook for every generated key-product match flag or one-to-many/many-to-one indicator.","blade-dataset-explainer.qmd"
"blade","BAS, PAYG, BIT, STP, EEH, and survey-style tables","ABS BLADE pages identify major data themes and source agencies; local metadata identifies generated table/variable names and valid-response notes where populated.","Public source-agency pages still need to be attached before generated financial, payroll, and survey fields are interpreted beyond local schema/valid-response metadata.","blade-dataset-explainer.qmd"
"blade","Generated distributions","Local smoke output and tests support implementation ranges and consistency checks.","I did not find official source-data distributions for the generated BLADE financial/payroll amounts or flags.","blade-dataset-explainer.qmd"
"census","Census variable definitions and code labels","The ABS 2021 Census Dictionary is the official source for variable definition, scope, categories, derivation, form questions, history, and data-use considerations. It should override local generator constants whenever a column uses an ABS mnemonic. The Census code-evidence register now attaches ABS Dictionary URLs for generated mnemonics where a public page exists.","The rebuild still needs frozen machine-readable code tables for large classifications and any future dictionary-accuracy tests that go beyond URL-level evidence.","census-dataset-explainer.qmd"
"census","Supplementary codes","The ABS supplementary-codes paper supports the use of symbol codes such as `&`, `@`, and `V` and explains that code width varies by variable.","PLIDA-specific geography fields such as `STEUCP` and `STEUCD` still need DIL/ASGS verification because they are not exposed as ordinary public Census Dictionary pages in the same way as standard Census mnemonics.","census-dataset-explainer.qmd"
"census","Current generator distributions","Local foundation files and current generator output support implementation checks only.","I did not find an official source that validates the current generated category frequencies or foundation distribution weights.","census-dataset-explainer.qmd"
"core-combined","Core demographics/vitals","ABS PLIDA and Life Course Dataset sources support the broad idea of an integrated person spine and core demographic/vital concepts drawn from linked administrative sources.","I did not find a public variable-level codebook for generated `CORE_GENDER`, `BIRTH_CTRY_CODE`, or source-specific death-date component coding.","core-combined-dataset-explainer.qmd"
"core-combined","Core locations","ABS Life Course sources support annual address/location concepts, common-address household construction, geocoded locations, and the development of Core Locations modules in PLIDA.","I did not find public code labels for generated `ADR_TYP`, `SOURCE_FLAG`, or the exact local DIL `STATE`/ASGS coding conventions used by the compact generator.","core-combined-dataset-explainer.qmd"
"core-combined","Core relationships","ABS data-development pages support the existence of Core Relationships modules for parent-child and spouse relationships where possible.","I did not find public labels for generated `COMBINED_CATEGORY`, `COMBINED_STATUS`, or relationship source-marker values.","core-combined-dataset-explainer.qmd"
"core-combined","Combined Indigenous flags","Local generator and PLIDA metadata support the derived ever-Aboriginal, ever-TSI, and ever-Indigenous columns by name.","I did not find a public ABS codebook that documents the exact current synthetic derivation inputs or real PLIDA combined-Indigenous construction rule.","core-combined-dataset-explainer.qmd"
"dhda-health","MBS","MBS Online and the classification specifications are official anchors for schedule items and classification fields such as category, group, subgroup, and subheading.","I did not find an official source for the generated claim-amount distributions; the amount quantiles remain smoke-output evidence.","dhda-health-dataset-explainer.qmd"
"dhda-health","PBS","The PBS API data dictionary is the official anchor for PBS item, prescribing-rule, co-payment, restriction, ATC, prescriber, organisation, and related concepts. The PBS fees page supports the current `$25.00` general and `$7.70` concessional co-payment thresholds.","I did not find an official source for the generated benefit/contribution amount distributions or all compact prescriber/pharmacy/under-copayment flag labels.","dhda-health-dataset-explainer.qmd"
"dhda-health","AIR","Health guidance establishes AIR reporting context and points to reporting-rule data elements.","I did not find a public AIR code table for every generated compact antigen, episode-status, and schedule-classification value.","dhda-health-dataset-explainer.qmd"
"dhda-health","NACDC","AIHW NACDC sources and the May 2026 table specifications support aged-care concepts and expose source data-item names, types, and value lists for sex, Indigenous status, country of birth, marital status, state, care approvals, and functional-capacity fields.","Generated `COUNTRY_OF_BIRTH`, `INDIGENOUS_STATUS`, `MARITAL_STATUS`, `CARE_TYPE`, and `HCP_LEVEL` are compact local representations rather than source-equivalent public NACDC code values; `STATE` needs its crosswalk tightened to an ASGS `STE_CODE`-style field rather than `RECIPIENT_STATE`.","dhda-health-dataset-explainer.qmd"
"dhda-health","MCD","Services Australia statistics pages are context sources for Medicare administrative statistics.","I did not find a public MCD variable-level codebook for generated consumer-status and program-code labels.","dhda-health-dataset-explainer.qmd"
"dss","DOMINO","DSS metadata pages and the Aristotle DOMINO entry support the use of DOMINO as longitudinal social-security administrative data and warn PLIDA users to rely on the PLIDA version.","I did not find public variable-level Aristotle pages for every generated benefit, component, end-reason, medical, housing, and education code used by the local generator. See `dss-variable-code-evidence.csv` for row-level status.","dss-dataset-explainer.qmd"
"dss","DEX","DEX policy and protocol documents are official anchors for service/session reporting, extended data, SCORE, and outcome framing.","Generated assistance, exit-reason, demographic, and SCORE fields still need exact protocol-table-to-variable mapping before labels are treated as official. See `dss-variable-code-evidence.csv` for row-level status.","dss-dataset-explainer.qmd"
"education","Higher education","The Department of Education student-data page is an official anchor for student, enrolment, completion, and HELP-style higher-education statistics and variable context.","I did not find exact public code-label tables for every local numeric HE category used in the generated tables; only attendance type/mode have exact TCSI anchors in this pass. See `education-variable-code-evidence.csv` for row-level status.","education-dataset-explainer.qmd"
"education","AEDC","Education/AEDC pages and the AEDC data dictionary support the five-domain structure and provide the right official source for AEDC variable definitions.","The generated 0-10 domain-score distributions and `Vulnerable`/`At risk`/`On track` cutoffs remain local generator logic until mapped to AEDC dictionary/scoring rules. See `education-variable-code-evidence.csv` for row-level status.","education-dataset-explainer.qmd"
"home-affairs","SDB permanent migrants","Home Affairs settlement reporting pages and the SDB data dictionary are the official anchors for settlement-record scope and SDB field/code interpretation.","I did not find a public source in this pass that proves the generated SDB category distributions or maps every generated Home Affairs compact value to an official code label. See `home-affairs-variable-code-evidence.csv` for row-level status.","home-affairs-dataset-explainer.qmd"
"home-affairs","AMEP","The AMEP profile paper is useful program context, and local PLIDA metadata contains ASLPR and hours concepts.","I did not find a public AMEP variable-level codebook or score-distribution source for the generated ASLPR/hours fields. See `home-affairs-variable-code-evidence.csv` for row-level status.","home-affairs-dataset-explainer.qmd"
"home-affairs","Visa and traveller products","Local PLIDA metadata provides variable names and current generated schemas.","I did not find a public Home Affairs codebook for generated visa subclass/reporting-group values or the generated traveller `1`/`2`/`3` quarterly status encoding. See `home-affairs-variable-code-evidence.csv` for row-level status.","home-affairs-dataset-explainer.qmd"
"ndis","Participant compact product","NDIS public dataset pages support participant, support budget, utilisation, diagnosis, plan-management, goal, First Nations, and CALD concepts.","I did not find a public source that proves the generated support-category, disability-group, participant-status, or plan-budget distributions. See `ndis-variable-code-evidence.csv` for row-level status.","ndis-dataset-explainer.qmd"
"ndis","Management type","NDIS management-options guidance supports the existence of self-managed, plan-managed, and NDIA-managed funding concepts.","The generated `MANAGEMENT_TYPE` labels still need an exact DIL/public dataset variable mapping before being treated as official code labels. See `ndis-variable-code-evidence.csv` for row-level status.","ndis-dataset-explainer.qmd"
"pit","PIT_PS payment summaries","ATO payment-summary and withholding sources support payment-summary concepts such as gross payments, tax withheld, reportable fringe benefits, reportable employer superannuation contributions, and lump sums. Local DIL metadata provides same-dataset crosswalks for ten compact generated PIT_PS fields.","I did not find same-dataset PIT_PS metadata support for generated `UNION_FEES` or `WORKPLACE_GIVING`; they remain external-source concepts, not source-equivalent PIT_PS variables.","pit-dataset-explainer.qmd"
"pit","PIT_ITR tax returns","ATO myTax and tax-return sources support the broad income, deduction, offset, Medicare levy, and taxable-income concepts in the compact ITR generator.","The guide still needs exact local DIL-to-tax-return item citations for every simplified tax calculation component before it can be treated as a complete ATO tax calculator.","pit-dataset-explainer.qmd"
