"source_file","logical_output","dataset","variable","finding_type","severity","matched_values","example","detail"
"abs-blade/blade-table-31-intellectual-property-refreshed-automated-product-for-information-ipra.parquet","blade-table-31-intellectual-property-refreshed-automated-product-for-information-ipra","BLADE","classification_date","generic_2024_date_range","warning",86,"2024-09-06","All parseable dates fall in 2024; verify the source reference period."
"abs-blade/blade-table-31-intellectual-property-refreshed-automated-product-for-information-ipra.parquet","blade-table-31-intellectual-property-refreshed-automated-product-for-information-ipra","BLADE","classification_removal_date","generic_2024_date_range","warning",86,"2024-09-06","All parseable dates fall in 2024; verify the source reference period."
"abs-blade/blade-table-34-intellectual-property-refreshed-automated-product-for-information-ipra.parquet","blade-table-34-intellectual-property-refreshed-automated-product-for-information-ipra","BLADE","effective_from_date","generic_2024_date_range","warning",86,"2024-07-17","All parseable dates fall in 2024; verify the source reference period."
"abs-core/plidage-core-income-cb-annual--core_employment_annual_2324_v8.parquet","plidage-core-income-cb-annual--core_employment_annual_2324_v8","CORE","FIN_YEAR_ENDING","generic_2024_date_range","warning",100,"2024-06-30","All parseable dates fall in 2024; verify the source reference period."
"abs-core/plidage-core-income-cb-annual--core_income_annual_2324_v8.parquet","plidage-core-income-cb-annual--core_income_annual_2324_v8","CORE","FIN_YEAR_ENDING","generic_2024_date_range","warning",100,"2024-06-30","All parseable dates fall in 2024; verify the source reference period."
"abs-core/plidage-core-income-cb-weekly--core_employment_weekly_2324_v8.parquet","plidage-core-income-cb-weekly--core_employment_weekly_2324_v8","CORE","FIN_YEAR_ENDING","generic_2024_date_range","warning",100,"2024-06-30","All parseable dates fall in 2024; verify the source reference period."
"abs-core/plidage-core-income-cb-weekly--core_employment_weekly_2324_v8.parquet","plidage-core-income-cb-weekly--core_employment_weekly_2324_v8","CORE","WEEK_ENDING","generic_2024_date_range","warning",100,"2024-01-18","All parseable dates fall in 2024; verify the source reference period."
"abs-core/plidage-core-income-cb-weekly--core_income_weekly_2324_v8.parquet","plidage-core-income-cb-weekly--core_income_weekly_2324_v8","CORE","FIN_YEAR_ENDING","generic_2024_date_range","warning",100,"2024-06-30","All parseable dates fall in 2024; verify the source reference period."
"abs-core/plidage-core-income-cb-weekly--core_income_weekly_2324_v8.parquet","plidage-core-income-cb-weekly--core_income_weekly_2324_v8","CORE","WEEK_ENDING","generic_2024_date_range","warning",100,"2024-01-18","All parseable dates fall in 2024; verify the source reference period."
"abs-core/plidage-core-income-ss-annual--dom_income_annual_2324_v8.parquet","plidage-core-income-ss-annual--dom_income_annual_2324_v8","CORE","FIN_YEAR_ENDING","generic_2024_date_range","warning",100,"2024-06-30","All parseable dates fall in 2024; verify the source reference period."
"abs-core/plidage-core-income-ss-annual--sae_income_annual_2324_v8.parquet","plidage-core-income-ss-annual--sae_income_annual_2324_v8","CORE","FIN_YEAR_ENDING","generic_2024_date_range","warning",100,"2024-06-30","All parseable dates fall in 2024; verify the source reference period."
"abs-core/plidage-core-income-ss-annual--stp_income_annual_2324_v8.parquet","plidage-core-income-ss-annual--stp_income_annual_2324_v8","CORE","FIN_YEAR_ENDING","generic_2024_date_range","warning",100,"2024-06-30","All parseable dates fall in 2024; verify the source reference period."
"abs-core/plidage-core-income-ss-weekly--dom_income_weekly_2324_v8.parquet","plidage-core-income-ss-weekly--dom_income_weekly_2324_v8","CORE","FIN_YEAR_ENDING","generic_2024_date_range","warning",100,"2024-06-30","All parseable dates fall in 2024; verify the source reference period."
"abs-core/plidage-core-income-ss-weekly--dom_income_weekly_2324_v8.parquet","plidage-core-income-ss-weekly--dom_income_weekly_2324_v8","CORE","WEEK_ENDING","generic_2024_date_range","warning",100,"2024-01-18","All parseable dates fall in 2024; verify the source reference period."
"abs-core/plidage-core-income-ss-weekly--stp_income_weekly_2324_v8.parquet","plidage-core-income-ss-weekly--stp_income_weekly_2324_v8","CORE","FIN_YEAR_ENDING","generic_2024_date_range","warning",100,"2024-06-30","All parseable dates fall in 2024; verify the source reference period."
"abs-core/plidage-core-income-ss-weekly--stp_income_weekly_2324_v8.parquet","plidage-core-income-ss-weekly--stp_income_weekly_2324_v8","CORE","WEEK_ENDING","generic_2024_date_range","warning",100,"2024-01-17","All parseable dates fall in 2024; verify the source reference period."
"aihw-nacdc/madipge-aged-care-d-agedrecipient-15-current--aged_recipient_jun2024.parquet","madipge-aged-care-d-agedrecipient-15-current--aged_recipient_jun2024","NACDC","REFERENCE_DATE","generic_2024_date_range","warning",100,"2024-06-30","All parseable dates fall in 2024; verify the source reference period."
