"dataset","variable","official_product","official_table","logical_output","determination","exact_rationale","evidence_source","caveat"
"A&T","ALL_INDUSTRIES",,,,"typed_missing_no_exact_apprentice_codeframe","The public training and AVETMISS sources do not establish the internal apprentice-system codeframe or reference-table value for this field.","NCVER AVETMISS Data element definitions; training.gov.au; R/dil_vet_apprentice_values.R","The field remains typed missing instead of receiving a locally invented code."
"A&T","APPLICATIONSTATUSCODE",,,,"typed_missing_no_exact_apprentice_codeframe","The public training and AVETMISS sources do not establish the internal apprentice-system codeframe or reference-table value for this field.","NCVER AVETMISS Data element definitions; training.gov.au; R/dil_vet_apprentice_values.R","The field remains typed missing instead of receiving a locally invented code."
"A&T","APPRENTICESHIPTYPE",,,,"typed_missing_no_exact_apprentice_codeframe","The public training and AVETMISS sources do not establish the internal apprentice-system codeframe or reference-table value for this field.","NCVER AVETMISS Data element definitions; training.gov.au; R/dil_vet_apprentice_values.R","The field remains typed missing instead of receiving a locally invented code."
"A&T","ARTS_AND_ENTERTAINMENT",,,,"typed_missing_no_exact_apprentice_codeframe","The public training and AVETMISS sources do not establish the internal apprentice-system codeframe or reference-table value for this field.","NCVER AVETMISS Data element definitions; training.gov.au; R/dil_vet_apprentice_values.R","The field remains typed missing instead of receiving a locally invented code."
"A&T","AUTOMOTIVE",,,,"typed_missing_no_exact_apprentice_codeframe","The public training and AVETMISS sources do not establish the internal apprentice-system codeframe or reference-table value for this field.","NCVER AVETMISS Data element definitions; training.gov.au; R/dil_vet_apprentice_values.R","The field remains typed missing instead of receiving a locally invented code."
"A&T","BASEQUALCODE",,,,"typed_missing_no_exact_apprentice_codeframe","The public training and AVETMISS sources do not establish the internal apprentice-system codeframe or reference-table value for this field.","NCVER AVETMISS Data element definitions; training.gov.au; R/dil_vet_apprentice_values.R","The field remains typed missing instead of receiving a locally invented code."
"A&T","BUILDING_AND_CONSTRUCTION",,,,"typed_missing_no_exact_apprentice_codeframe","The public training and AVETMISS sources do not establish the internal apprentice-system codeframe or reference-table value for this field.","NCVER AVETMISS Data element definitions; training.gov.au; R/dil_vet_apprentice_values.R","The field remains typed missing instead of receiving a locally invented code."
"A&T","BUSINESSRELATIONSHIP",,,,"typed_missing_no_exact_apprentice_codeframe","The public training and AVETMISS sources do not establish the internal apprentice-system codeframe or reference-table value for this field.","NCVER AVETMISS Data element definitions; training.gov.au; R/dil_vet_apprentice_values.R","The field remains typed missing instead of receiving a locally invented code."
"A&T","CITIZENSHIPCODE",,,,"typed_missing_no_exact_apprentice_codeframe","The public training and AVETMISS sources do not establish the internal apprentice-system codeframe or reference-table value for this field.","NCVER AVETMISS Data element definitions; training.gov.au; R/dil_vet_apprentice_values.R","The field remains typed missing instead of receiving a locally invented code."
"A&T","COMMENCEMENTTYPECODE",,,,"typed_missing_no_exact_apprentice_codeframe","The public training and AVETMISS sources do not establish the internal apprentice-system codeframe or reference-table value for this field.","NCVER AVETMISS Data element definitions; training.gov.au; R/dil_vet_apprentice_values.R","The field remains typed missing instead of receiving a locally invented code."
